0,1,2,3,4,5,6,7,8,9,10,11,id
23.9,28.86,36.81,45.56,54.26,62.29,71,68.72,59.17,48.07,35.32,25.95,1007
17.74,21.5,28.03,36.81,45.3,52.95,61.68,59.97,51.16,40.23,27.33,19.2,1008
18.78,23.64,32.34,42.44,51.45,59.6,68.1,65.84,56.19,44.59,31.14,21.05,1009
20.45,24.26,30.77,39.86,48.8,56.95,65.56,63.81,54.61,43.38,30.64,21.99,1010
20.27,23.88,35.72,48.67,59.94,69.33,73.5,71.24,63.71,51.91,37.49,25.09,1101
21.58,24.77,35.97,48.11,59.21,68.81,73.27,71.26,64.03,52.2,38.3,26.21,1102
24.07,27.87,39.19,51.62,62.48,71.69,75.86,73.69,66.24,54.47,40.42,28.56,1103
24.02,27.56,38.79,51.06,61.89,71.15,74.97,72.8,65.78,53.94,40.02,28.35,1104
24.11,27.4,38.34,50.23,61.33,70.63,74.32,72.18,65.42,53.54,39.89,28.35,1105
27.38,31.07,41.71,53.39,63.71,72.74,76.72,74.79,67.62,55.94,42.58,31.42,1106
27.93,31.32,41.75,53.18,63.47,72.58,76.26,74.32,67.6,55.72,42.53,31.81,1107
31.31,34.79,44.72,55.68,65.31,74.08,77.9,76.16,69.19,57.67,44.91,34.72,1108
31.62,34.83,44.86,55.7,65.27,74.04,77.71,76.07,69.31,57.63,44.99,34.95,1109
23.52,26.26,36.97,48.6,59.79,69.32,73.21,71.12,64.39,52.55,39.38,27.81,1201
23.79,26.14,36.73,48.45,59.67,69.12,73.01,70.81,64.07,52.23,39.32,28.11,1202
23.81,25.84,36.33,48.22,59.42,68.83,72.8,70.65,63.93,51.97,39.32,28.07,1203
26.23,29.27,39.69,51.2,61.88,70.95,74.65,72.64,66.03,54.11,41.17,30.19,1204
26.58,29.31,39.6,50.93,61.59,70.66,74.33,72.32,65.77,53.83,41.26,30.45,1205
25.94,28.33,38.6,49.91,60.75,69.79,73.44,71.39,64.92,53.07,40.71,29.92,1206
30.38,33.43,43.4,54.51,64.42,73.18,76.75,75.07,68.46,56.57,44.09,33.99,1207
30.12,32.99,42.81,53.65,63.4,72.01,75.63,74.06,67.53,55.58,43.57,33.62,1208
29.69,32.34,42.16,53.03,63.03,71.58,75.34,73.7,67.22,55.23,43.21,33.22,1209
15.12,19.66,32.11,46.62,58.66,68.26,72.94,70.38,61.77,49.47,33.4,20.03,1301
14.59,19.16,31.8,46.3,58.45,67.97,72.33,69.74,61.51,49.52,33.56,19.93,1302
15.55,19.85,32.35,46.52,58.2,67.58,72,69.56,61.46,49.66,34.27,20.92,1303
18.15,22.63,34.76,48.52,59.98,69.43,74.02,71.54,63.25,51.26,35.6,22.77,1304
18.15,22.5,34.92,48.64,60.16,69.47,73.9,71.41,63.38,51.61,36.15,23.05,1305
19.22,23.21,35.46,48.8,60.14,69.49,73.82,71.42,63.57,51.77,36.94,24.26,1306
21.17,25.67,37.27,50.3,61.31,70.71,75.4,73.08,64.87,53.04,37.92,25.48,1307
21.42,25.75,37.49,50.28,61.36,70.62,75.43,73.16,65.02,53.43,38.5,25.99,1308
21.91,25.97,37.74,50.67,61.69,70.95,75.44,73.17,65.27,53.58,38.93,26.7,1309
27.37,31.18,39.55,50.38,60.39,70.85,76.83,74.75,65.77,53.26,39.02,29.29,1401
26.37,30.93,40.86,52.55,62.71,73.07,78.66,76.73,67.71,55.36,40.56,29.48,1402
26.05,30.75,41.41,53.22,63.49,73.02,77.94,76.08,67.63,55.91,41.5,29.88,1403
28.78,32.64,40.93,51.65,61.51,72.11,77.77,75.91,67.23,54.61,40.35,30.62,1404
28.58,33.02,42.64,53.85,63.76,74.12,79.61,78,69.18,56.83,42.21,31.39,1405
28.57,33.11,43.37,54.58,64.38,73.65,78.62,77.23,68.88,57.3,43.34,32.17,1406
30.87,34.96,43.23,53.75,63.59,73.9,79.06,77.38,68.96,56.37,42.3,32.56,1407
30.95,35.47,44.59,55.46,65.13,75.27,80.45,79.06,70.5,58.19,43.93,33.43,1408
